rent_serial_id,homeless_region,homeless_male_adults,homeless_female_adults,immigrants_nationality,immigrants_gender,immigration_year,rent_location,rent_cost,homeless_adults,latitude,longitude
86,North-East,73,27,UK (1),Female,2021,"Sandycove, Dublin",2183.49,100,53.2859485,-6.1155829
87,North-West,44,23,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Female,2021,"Shankill, Dublin",1782.34,67,53.2302278,-6.1241807
88,South-East,149,48,EU15 to EU27 (accession countries joined post 2004),Female,2021,"Skerries, Dublin",1497.79,197,53.5739887,-6.1191749
89,South-West,338,163,Other nationalities(17),Female,2021,"Stillorgan, Dublin",1984.2,501,53.2888378,-6.198343
90,West,151,101,All nationalities,Female,2021,"Swords, Dublin",1548.06,252,53.4396969,-6.2080622
91,Dublin,2749,1494,Irish,Both sexes,2022,Dublin 1,1650.77,4243,53.3524881,-6.2566457
92,Mid-East,208,115,UK (1),Both sexes,2022,"I.F.S.C., Dublin 1",1852.13,323,47.27541,8.4897
93,Midlands,45,34,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Both sexes,2022,"Parnell Street, Dublin 1",1713.8,79,53.3526665,-6.2611831
94,Mid-West,187,100,EU15 to EU27 (accession countries joined post 2004),Both sexes,2022,"Spencer Dock, Dublin 1",2130.29,287,53.3510298,-6.2400455
95,North-East,71,24,Other nationalities(17),Both sexes,2022,"Summerhill, Dublin 1",1616.96,95,53.354628,-6.255602
96,North-West,49,26,All nationalities,Both sexes,2022,Dublin 2,2166.85,75,53.3389714,-6.2526788
97,South-East,126,48,Irish,Male,2022,"Charlemont Street, Dublin 2",2064.17,174,53.3325712,-6.2632614
98,South-West,344,160,UK (1),Male,2022,"Grand Canal Dock, Dublin 2",2456.44,504,53.3418894,-6.2380215
99,West,146,106,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Male,2022,"Grand Canal Square, Dublin 2",2871.54,252,53.3433127,-6.2386227
100,Dublin,2681,1477,EU15 to EU27 (accession countries joined post 2004),Male,2022,"Hanover Quay, Dublin 2",2496.47,4158,53.3441828,-6.2372204
101,Mid-East,198,112,Other nationalities(17),Male,2022,"Pearse Street, Dublin 2",1775.92,310,53.3434703,-6.2461704
102,Midlands,38,30,All nationalities,Male,2022,"Tara Street, Dublin 2",1744.19,68,53.3471286,-6.2543071
103,Mid-West,182,92,Irish,Female,2022,"Temple Bar, Dublin 2",1822.34,274,53.3454957,-6.2631139
104,North-East,68,21,UK (1),Female,2022,"Townsend Street, Dublin 2",1807.12,89,53.3456427,-6.2504095
105,North-West,51,21,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Female,2022,Dublin 3,1684.15,72,53.3631096,-6.2051821
106,South-East,124,45,EU15 to EU27 (accession countries joined post 2004),Female,2022,"Clonliffe, Dublin 3",1540.35,169,53.3710099,-6.2558664
107,South-West,340,145,Other nationalities(17),Female,2022,"Clontarf, Dublin 3",1729.14,485,53.3765451,-6.2096458
108,West,146,102,All nationalities,Female,2022,"Drumcondra, Dublin 3",1592.94,248,26.91667,87.91667
